Código;Nome;Símbolo;Cód. País;País;Tipo;Data Exclusão Ptax
005;AFEGANE AFEGANIST;AFN;00132;AFEGANISTAO;A;
785;RANDE/AFRICA SUL;ZAR;07560;AFRICA DO SUL;A;
490;LEK ALBANIA REP;ALL;00175;ALBANIA, REPUBLICA DA;A;
610;MARCO ALEMAO;DEM;00230;ALEMANHA;A;02/01/2002
690;PESETA/ANDORA;ADP;00370;ANDORRA;A;27/02/2004
635;KWANZA/ANGOLA;AOA;00400;ANGOLA;A;
820;RIAL/ARAB SAUDITA;SAR;00531;ARABIA SAUDITA;A;
095;DINAR ARGELINO;DZD;00590;ARGELIA;A;
010;AUSTRAL;ARG;00639;ARGENTINA;A;16/12/2009
705;PESO ARGENTINO;$(ARG);00639;ARGENTINA;A;03/11/1986
706;PESO ARGENTINO;ARS;00639;ARGENTINA;A;
275;DRAM ARMENIA REP;AMD;00647;ARMENIA, REPUBLICA DA;A;
328;FLORIM/ARUBA;AWG;00655;ARUBA;A;
150;DOLAR AUSTRALIANO;AUD;00698;AUSTRALIA;B;
940;XELIM AUSTRIACO;ATS;00728;AUSTRIA;A;02/01/2002
607;MANAT ARZEBAIJAO;AZN;00736;AZERBAIJAO, REPUBLICA DO;A;
155;DOLAR/BAHAMAS;BSD;00779;BAHAMAS, ILHAS;A;
105;DINAR/BAHREIN;BHD;00809;BAHREIN, ILHAS;A;
905;TACA/BANGLADESH;BDT;00817;BANGLADESH;A;
175;DOLAR/BARBADOS;BBD;00833;BARBADOS;A;
829;RUBLO BELARUS;BYR;00850;BELARUS, REPUBLICA DA;A;30/06/2016
831;RUBLO BELARUS;BYN;00850;BELARUS, REPUBLICA DA;A;
360;FRANCO BELGA/BELG;BEF;00876;BELGICA;A;02/01/2002
180;DOLAR/BELIZE;BZD;00884;BELIZE;A;
160;DOLAR/BERMUDAS;BMD;00906;BERMUDAS;A;
030;BOLIVIANO/BOLIVIA;BOB;00973;BOLIVIA;A;
710;PESO BOLIVIANO;$B;00973;BOLIVIA;A;20/09/1993
612;MARCO CONV BOSNIA;BAM;00981;BOSNIA-HERZEGOVINA (REPUBLICA DA);A;
755;PULA/BOTSWANA;BWP;01015;BOTSUANA;B;
078;CRUZADO NOVO;NCZ$;01058;BRASIL;A;15/03/1990
079;CRUZADO;CZ$;01058;BRASIL;A;15/01/1989
080;CRUZEIRO;CR$;01058;BRASIL;A;27/02/1986
083;CRUZEIRO;CR$;01058;BRASIL;A;31/07/1993
085;CRUZEIRO REAL;CR$;01058;BRASIL;A;30/06/1994
790;REAL BRASIL;BRL;01058;BRASIL;A;
185;DOLAR BRUNEI;BND;01082;BRUNEI;A;
510;LEV/BULGARIA, REP;BGN;01112;BULGARIA, REPUBLICA DA;A;
365;FRANCO/BURUNDI;BIF;01155;BURUNDI;A;
665;NGULTRUM/BUTAO;BTN;01198;BUTAO;A;
295;ESCUDO CABO VERDE;CVE;01279;CABO VERDE, REPUBLICA DE;A;
825;RIEL/CAMBOJA;KHR;01414;CAMBOJA;A;
165;DOLAR CANADENSE;CAD;01490;CANADA;A;
800;RIAL/CATAR;QAR;01546;CATAR;A;
190;DOLAR CAYMAN;KYD;01376;CAYMAN, ILHAS;A;
913;TENGE CAZAQUISTAO;KZT;01538;CAZAQUISTAO, REPUBLICA DO;A;
197;UNIDADE DE FOMENTO DO CHILE;CLF;01589;CHILE;B;
715;PESO CHILE;CLP;01589;CHILE;A;
916;UNID FOMENTO CHIL;CLF;01589;CHILE;A;20/01/2014
795;RENMINBI CHINES;CNY;01600;CHINA, REPUBLICA POPULAR;A;
520;LIBRA CIP/CHIPRE;CYP;01635;CHIPRE;A;03/03/2009
195;DOLAR CINGAPURA;SGD;07412;CINGAPURA;A;
720;PESO/COLOMBIA;COP;01694;COLOMBIA;A;
721;UNIDADE DE VALOR REAL;COU;01694;COLOMBIA;B;
368;FRANCO COMORES;KMF;01732;COMORES, ILHAS;A;
363;FRANCO CONGOLES;CDF;08885;CONGO, REPUBLICA DEMOCRATICA DO;A;
970;NOVO ZAIRE ZAIRE;ZRN;08885;CONGO, REPUBLICA DEMOCRATICA DO;A;31/07/1998
971;NOVO ZAIRE;ZRN;08885;CONGO, REPUBLICA DEMOCRATICA DO;A;30/10/1998
925;WON/COREIA NORTE;KPW;01872;COREIA, REP.POP.DEMOCRATICA;A;
930;WON COREIA SUL;KRW;01902;COREIA, REPUBLICA DA;A;
995;BUA;BUA;01937;COSTA DO MARFIM;B;17/12/2009
996;FUA;FUA;01937;COSTA DO MARFIM;B;17/12/2009
040;COLON/COSTA RICA;CRC;01961;COSTA RICA;A;
100;DINAR/KWAIT;KWD;01988;COVEITE;A;
779;KUNA DA CROACIA;HRK;01953;CROACIA (REPUBLICA DA);A;31/12/2022
725;PESO/CUBA;CUP;01996;CUBA;A;
055;COROA DINAMARQUESA;DKK;02321;DINAMARCA;A;
390;FRANCO/DJIBUTI;DJF;07838;DJIBUTI;A;
535;LIBRA/EGITO;EGP;02402;EGITO;A;
045;COLON/EL SALVADOR;SVC;06874;EL SALVADOR;A;
145;DIRHAM/EMIR.ARABE;AED;02445;EMIRADOS ARABES UNIDOS;A;
895;SUCRE EQUADOR;ECS;02399;EQUADOR;A;09/09/2000
625;NAKFA DA ERITREIA;ERN;02437;ERITREIA;A;
058;COROA ESLOVACA;SKK;02470;ESLOVACA, REPUBLICA;A;03/03/2009
914;TOLAR/ESLOVENIA;SIT;02461;ESLOVENIA, REPUBLICA DA;A;03/03/2009
700;PESETA ESPANHOLA;ESP;02453;ESPANHA;A;02/01/2002
057;COROA ESTONIA;EEK;02518;ESTONIA, REPUBLICA DA;A;17/01/2011
009;BIRR/ETIOPIA;ETB;02534;ETIOPIA;A;
545;LIBRA/FALKLAND;FKP;02550;FALKLAND (ILHAS MALVINAS);B;
200;DOLAR FIJI;FJD;08702;FIJI;B;
735;PESO/FILIPINAS;PHP;02674;FILIPINAS;A;
615;MARCO FINLANDES;FIM;02712;FINLANDIA;A;02/01/2002
640;NOVO DOLAR/TAIWAN;TWD;01619;FORMOSA (TAIWAN);A;
395;FRANCO FRANCES;FRF;02755;FRANCA;A;02/01/2002
090;DALASI/GAMBIA;GMD;02852;GAMBIA;A;
035;CEDI GANA;GHS;02895;GANA;A;
482;LARI GEORGIA;GEL;02917;GEORGIA, REPUBLICA DA;A;
530;LIBRA DE GIBRALTAR;GIP;02933;GIBRALTAR;B;
270;DRACMA/GRECIA;GRD;03018;GRECIA;A;02/01/2002
770;QUETZAL/GUATEMALA;GTQ;03174;GUATEMALA;A;
170;DOLAR DA GUIANA;GYD;03379;GUIANA;A;
398;FRANCO/GUINE;GNF;03298;GUINE;A;
738;PESO GUINE BISSAU;GWP;03344;GUINE-BISSAU;A;27/11/2020
440;GOURDE HAITI;HTG;03417;HAITI;A;
495;LEMPIRA/HONDURAS;HNL;03450;HONDURAS;A;
205;DOLAR HONG KONG;HKD;03514;HONG KONG;A;
345;FORINT/HUNGRIA;HUF;03557;HUNGRIA, REPUBLICA DA;A;
810;RIAL/IEMEN;YER;03573;IEMEN;A;
860;RUPIA/INDIA;INR;03611;INDIA;A;
865;RUPIA/INDONESIA;IDR;03654;INDONESIA;A;
815;RIAL/IRAN, REP;IRR;03727;IRA, REPUBLICA ISLAMICA DO;A;
115;DINAR/IRAQUE;IQD;03697;IRAQUE;A;
550;LIBRA/IRLANDA;IEP;03751;IRLANDA;B;02/01/2002
060;COROA ISLND/ISLAN;ISK;03794;ISLANDIA;A;
880;SHEKEL/ISRAEL;ILS;03832;ISRAEL;A;
595;LIRA ITALIANA;ITL;03867;ITALIA;A;02/01/2002
230;DOLAR/JAMAICA;JMD;03913;JAMAICA;A;
470;IENE;JPY;03999;JAPAO;A;
125;DINAR/JORDANIA;JOD;04030;JORDANIA;A;
780;QUIPE/LAOS, REP;LAK;04200;LAOS, REP.POP.DEMOCR.DO;A;
603;LOTI/LESOTO;LSL;04260;LESOTO;A;
485;LAT LETONIA REP;LVL;04278;LETONIA, REPUBLICA DA;A;31/12/2013
560;LIBRA/LIBANO;LBP;04316;LIBANO;A;
235;DOLAR LIBERIA;LRD;04340;LIBERIA;A;
130;DINAR/LIBIA;LYD;04383;LIBIA;A;
601;LITA LITUANIA;LTL;04421;LITUANIA, REPUBLICA DA;A;31/12/2014
400;FRANCO LUXEMBURGO;LUF;04456;LUXEMBURGO;A;02/01/2002
685;PATACA/MACAU;MOP;04472;MACAU;A;
132;DINAR/MACEDONIA;MKD;04499;MACEDONIA DO NORTE;A;
405;FRANCO MALGAXE MADAGA;MGF;04502;MADAGASCAR;A;14/06/2010
406;ARIARY MADAGASCAR;MGA;04502;MADAGASCAR;A;
240;DOLAR MALAIO;M$;04553;MALASIA;A;24/04/1986
828;RINGGIT/MALASIA;MYR;04553;MALASIA;A;
760;QUACHA/MALAVI;MWK;04588;MALAVI;A;
870;RUFIA/MALDIVAS;MVR;04618;MALDIVAS;A;
565;LIRA/MALTA;MTL;04677;MALTA;B;03/03/2009
139;DIRHAM/MARROCOS;MAD;04740;MARROCOS;A;
840;RUPIA/MAURICIO;MUR;04855;MAURICIO;A;
670;UGUIA MAURITANIA;MRO;04880;MAURITANIA;A;
671;UGUIA MAURITANIA;MRU;04880;MAURITANIA;A;
740;PESO MEXICANO;MEX$;04936;MEXICO;A;31/05/1993
741;PESO/MEXICO;MXN;04936;MEXICO;A;
775;QUIATE/BIRMANIA;MMK;00930;MIANMAR (BIRMANIA);A;
620;METICAL MOCAMBIQ;MZM;05053;MOCAMBIQUE;A;01/07/2006
622;NOVA METICAL/MOCA;MZN;05053;MOCAMBIQUE;A;
503;LEU/MOLDAVIA, REP;MDL;04944;MOLDAVIA, REPUBLICA DA;A;
915;TUGRIK/MONGOLIA;MNT;04979;MONGOLIA;A;
173;DOLAR DA NAMIBIA;NAD;05070;NAMIBIA;A;
845;RUPIA/NEPAL;NPR;05177;NEPAL;A;
051;CORDOBA OURO;NIO;05215;NICARAGUA;A;
630;NAIRA NIGERIA;NGN;05282;NIGERIA;A;
065;COROA NORUEGUESA;NOK;05380;NORUEGA;A;
805;RIAL/OMA;OMR;05568;OMA;A;
335;FLORIM HOLANDES;NLG;05738;PAISES BAIXOS (HOLANDA);A;02/01/2002
020;BALBOA/PANAMA;PAB;05800;PANAMA;A;
778;KINA DE PAPUA NOVA GUINE;PGK;05452;PAPUA NOVA GUINE;B;
875;RUPIA/PAQUISTAO;PKR;05762;PAQUISTAO;A;
450;GUARANI/PARAGUAI;PYG;05860;PARAGUAI;A;
480;INTI PERUANO;I;05894;PERU;A;01/02/1991
660;NOVO SOL/PERU;PEN;05894;PERU;A;
890;SOL PERUANO;S/.;05894;PERU;A;26/04/1988
380;FRANCO CFP;XPF;05991;POLINESIA FRANCESA;A;
975;ZLOTY/POLONIA;PLN;06033;POLONIA, REPUBLICA DA;A;
315;ESCUDO PORTUGUES;PTE;06076;PORTUGAL;A;02/01/2002
950;XELIM/QUENIA;KES;06238;QUENIA;A;
892;SOM DO QUIRGUISTAO;KGS;06254;QUIRGUIZ, REPUBLICA;A;
730;PESO/REP. DOMINIC;DOP;06475;REPUBLICA DOMINICANA;A;
505;LEU/ROMENIA;ROL;06700;ROMENIA;A;17/12/2009
506;NOVO LEU DA ROMENIA;RON;06700;ROMENIA;A;
420;FRANCO/RUANDA;RWF;06750;RUANDA;A;
830;RUBLO/RUSSIA;RUB;06769;RUSSIA, FEDERACAO DA;A;
250;DOLAR DAS ILHAS SALOMAO;SBD;06777;SALOMAO, ILHAS;B;
910;TALA;WS$;06904;SAMOA;B;27/07/1988
911;TALA DA SAMOA OCIDENTAL;WST;06904;SAMOA;A;02/12/2014
912;TALA SAMOA;WST;06904;SAMOA;B;
570;LIBRA DE SANTA HELENA;SHP;07102;SANTA HELENA;B;
148;DOBRA S TOME PRIN;STD;07200;SAO TOME E PRINCIPE, ILHAS;A;31/12/2017
149;DOBRA SÃO TOMÉ E PRÍNCIPE;STN;07200;SAO TOME E PRINCIPE, ILHAS;A;
500;LEONE/SERRA LEOA;SLL;07358;SERRA LEOA;A;
120;DINAR IUGOSLAVO;DIN;07370;SERVIA;A;04/08/1998
133;DINAR SERVIO SERVIA;RSD;07370;SERVIA;A;
637;NOVO DINAR IUGOSLAVO;YUM;07370;SERVIA;A;27/02/2004
850;RUPIA SEYCHELES;SCR;07315;SEYCHELLES;A;
575;LIBRA/SIRIA, REP;SYP;07447;SIRIA, REPUBLICA ARABE DA;A;
960;XELIM/SOMALIA;SOS;07480;SOMALIA;A;
855;RUPIA/SRI LANKA;LKR;07501;SRI LANKA;A;
585;LILANGENI/SUAZIL;SZL;07544;SUAZILANDIA;A;
134;NOVA LIBRA SUDANESA;SDG;07595;SUDAO;A;
580;LIBRA SUDANESA;LSD;07595;SUDAO;B;21/05/1996
136;LIBRA SUL SUDANESA;SSP;07596;SUDAO DO SUL;A;
070;COROA SUECA;SEK;07641;SUECIA;A;
255;DOLAR DO SURINAME;SRD;07706;SURINAME;A;
330;FLORIM/SURINAME;SRG;07706;SURINAME;A;06/09/2005
333;DOLAR/SURINAME;SRD;07706;SURINAME;A;06/09/2005
835;SOMONI TADJIQUISTAO;TJS;07722;TADJIQUISTAO, REPUBLICA DO;A;
015;BATH/TAILANDIA;THB;07765;TAILANDIA;A;
945;XELIM TANZANIA;T SH;07803;TANZANIA, REP.UNIDA DA;A;25/11/1999
946;XELIM DA TANZANIA;TZS;07803;TANZANIA, REP.UNIDA DA;A;
075;COROA TCHECA;CZK;07919;TCHECA, REPUBLICA;A;
320;ESCUDO TIMOR LESTE;TPE;07951;TIMOR LESTE;A;01/01/2000
680;PAANGA/TONGA;TOP;08109;TONGA;B;
210;DOLAR/TRIN. TOBAG;TTD;08150;TRINIDAD E TOBAGO;A;
135;DINAR/TUNISIA;TND;08206;TUNISIA;A;
608;NOVO MANAT TURCOMANO;TMT;08249;TURCOMENISTAO, REPUBLICA DO;A;
600;LIRA TURQUIA;TRL;08273;TURQUIA;A;17/12/2009
642;LIRA TURCA;TRY;08273;TURQUIA;A;
460;HRYVNIA UCRANIA;UAH;08311;UCRANIA;A;
955;XELIM/UGANDA;UGX;08338;UGANDA;A;
745;PESO/URUGUAIO;UYU;08451;URUGUAI;A;
893;SOM UZBEQUISTAO;UZS;08478;UZBEQUISTAO, REPUBLICA DO;A;
920;VATU VANUATU;VUV;05517;VANUATU;A;
025;BOLIVAR/VENZUELA;VEB;08508;VENEZUELA;A;17/12/2009
026;BOLIVAR VENEZUELANO;VEF;08508;VENEZUELA;A;19/08/2018
027;BOLIVAR SOBERANO VENEZUELANO;VES;08508;VENEZUELA;A;
260;DONGUE/VIETNAN;VND;08583;VIETNA;A;
765;QUACHA ZAMBIA;ZMK;08907;ZAMBIA;A;31/12/2012
766;QUACHA ZAMBIA;ZMW;08907;ZAMBIA;A;
217;DOLAR ZIMBABUE;ZWL;06653;ZIMBABUE;A;30/08/2024
218;OURO DO ZIMBABWE;ZWG;06653;ZIMBABUE;A;
998;OURO;XAU;0000;-;A;
994;PLATINA;PLAT;0000;-;B;10/06/2002
993;PALADIO;XPD;0000;-;B;10/06/2002
992;DOLAR-ROMENIA;CL$ROM.;0000;-;A;04/08/1998
991;PRATA;XAG;0000;-;B;10/06/2002
990;DOLAR-POLONIA;CL$POL.;0000;-;A;04/08/1998
988;DOLAR-IUGOSLAVIA;CL$IUG.;0000;-;-;04/08/1998
986;DOLAR-ISRAEL;CL$ISR.;0000;-;-;04/08/1998
984;DOLAR-HUNGRIA;CL$HUNG;0000;-;A;04/08/1998
983;DOLAR-GRECIA;CL$GREC;0000;-;-;04/08/1998
982;DOLAR-BULGARIA;CL$BULG;0000;-;A;04/08/1998
980;DOLAR-EX-ALEM.ORI;CL$RDA;0000;-;A;04/08/1998
978;EURO;EUR;0000;-;B;
918;UNID.MONET.EUROP.;XEU;0000;-;B;
796;RENMINBI HONG KONG;CNH;0000;-;A;
776;KARBOVANETS;UAK;0000;-;A;04/08/1998
663;NOVO ZAIRE;ZRN;0000;-;A;30/10/1998
651;NOVO PESO URUGUAI;NC€;0000;-;A;03/06/2008
650;NOVO PESO URUGUAI;N$;0000;-;A;03/06/2008
646;NOVO PESO/MEXICO;MXN;0000;-;A;03/06/2008
645;NOVO PESO/MEXICO;MXN;0000;-;A;08/07/2008
605;MARCO;M;0000;-;A;04/08/1998
555;LIBRA ISRAELENSE;IL;0000;-;A;04/08/1998
540;LIBRA ESTERLINA;GBP;0000;-;B;
425;FRANCO SUICO;CHF;0000;-;A;
410;FRANCO MALI;MF;0000;-;A;31/07/1998
385;FRANCO/BURUNDI;BIF;0000;-;A;31/07/1998
372;FRANCO CFA BCEAO;XOF;0000;-;A;
370;FRANCO CFA BEAC;XAF;0000;-;A;
361;FRANCO BELGA FINA;FBF;0000;-;A;04/08/1998
325;GUILDER ANTILHAS HOLANDESAS;ANG;0000;-;A;
245;DOLAR NOVA ZELANDIA;NZD;0000;-;B;
225;DOLAR/ETIOPIA;ETB;0000;-;A;04/08/1998
220;DOLAR DOS EUA;USD;0000;-;A;
215;DOLAR CARIBE ORIENTAL;XCD;0000;-;A;
138;DIREITO ESPECIAL;SDR;0000;-;B;
110;DINAR IEMENITA;YD;0000;-;B;31/07/1998
088;CUPON GEORGIANO;RUR;0000;-;A;04/08/1998
050;CORDOBA/NICARAGUA;NIC;0000;-;A;31/07/1998
008;BIRR;ETB;0000;-;A;28/07/1998
